Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C15, C16, C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C32, C36, C37, C38, C39, C40, C41, C42, C43, C5, C8, C9",0402,31,100n,C1525
"C14, C19",0402,2,1u,C52923
"C18, C2, C30, C33, C34, C35, C4",0603,7,10u,C19702
C31,CP_Elec_6.3x7.7,1,100µ 35V,C2836437
"C6, C7",0402,2,27pF,C1557
"D1, D2",D_SOD-323,2,SD15,C502529
"D3, D7",D_SOD-323,2,1A,C191023
D4,0805,1,LED gn,C2297
D5,D_SMA,1,SMAJ5.0,C2925443
D6,D_SOD-323,1,SD05,C2972756
J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C709357
"R1, R103, R104, R33, R5, R55, R56, R6, R61, R62, R67, R68, R73, R74, R79, R8, R80, R87, R88, R9, R95, R96",0603,22,10k,C25804
"R10, R11",0402,2,27,C138021
"R100, R105, R108, R52, R57, R59, R63, R65, R69, R71, R75, R77, R81, R84, R89, R92, R97",0603,17,1k,C21190
"R101, R106, R109, R82, R85, R90, R93, R98",0603,8,1M,C22935
"R102, R107, R110, R14, R18, R19, R28, R51, R58, R60, R64, R66, R70, R72, R76, R78, R83, R86, R91, R94, R99",0603,21,2k,C22975
"R12, R15, R20, R21, R22, R23, R24, R25, R26, R29, R30, R34, R4",0402,13,1k,C11702
R13,0603,1,33k,C4216
"R16, R2",0603,2,100R,C22775
R17,0603,1,5k,C101077
R27,0603,1,3k,C4211
R3,0603,1,120R,C22787
"R31, R32",0603,2,5k1,C23186
"R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50",1206,16,180R,C17924
R53,0603,1,330k,C23137
R54,0603,1,6k8,C23212
R7,0603,1,0,C21189
SW1,SW_SPST_SKQG_WithStem,1,Reset,C318884
SW2,SW_SPST_SKQG_WithStem,1,Boot,C318884
SW3,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,1,ADDRESS,C54950
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ADM3483,C609792
"U10, U7, U8, U9",SOIC-14_3.9x8.7mm_P1.27mm,4,LM339,C179558
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVSIQ,C97521
U3,SOT-23-5,1,LMV321,C7972
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOT-23-5,1,SN74AHCT1G125,C7484
U6,SOT-23-5,1,AP2112K-3.3,C51118
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,"12MHz,18pF",C9002
