Designator,Mid X,Mid Y,Rotation,Layer
C1,132.7609,-60.3702,270.0,top
C10,140.6809,-83.8342,90.0,top
C11,146.2689,-95.2642,270.0,top
C12,138.6569,-89.5492,180.0,top
C13,147.7829,-81.8982,90.0,top
C14,150.5629,-84.4462,0.0,top
C15,151.8569,-89.5102,0.0,top
C16,144.7209,-80.2782,90.0,top
C17,150.0549,-82.3812,90.0,top
C18,148.7849,-81.8982,90.0,top
C19,144.7449,-54.8782,270.0,top
C2,138.6429,-65.4558,180.0,top
C20,166.5909,-62.9158,180.0,top
C21,158.4449,-61.4172,180.0,top
C22,147.5329,-62.8142,0.0,top
C23,155.8925,-62.933,270.0,top
C24,158.5849,-67.3862,180.0,top
C25,182.499,-60.452,0.0,top
C26,182.499,-64.135,0.0,top
C27,182.499,-67.818,0.0,top
C28,182.499,-71.628,0.0,top
C29,182.499,-75.184,0.0,top
C3,145.2529,-69.1022,270.0,top
C30,182.613,-78.994,0.0,top
C31,192.8368,-96.52,0.0,top
C32,192.786,-92.837,0.0,top
C33,112.268,-57.658,90.0,top
C34,122.047,-59.436,0.0,top
C35,115.062,-60.071,270.0,top
C36,115.062,-62.357,270.0,top
C37,119.761,-59.436,180.0,top
C38,115.062,-64.643,270.0,top
C39,115.062,-66.929,270.0,top
C4,144.7449,-75.9602,0.0,top
C40,122.174,-69.215,0.0,top
C41,115.062,-70.358,270.0,top
C42,163.195,-96.012,90.0,top
C43,115.062,-72.291,270.0,top
C44,119.634,-69.215,180.0,top
C45,115.062,-75.184,270.0,top
C46,115.062,-77.343,270.0,top
C47,122.174,-79.375,0.0,top
C48,115.062,-80.363,270.0,top
C49,115.062,-82.296,270.0,top
C5,138.9029,-74.4362,180.0,top
C50,119.634,-79.375,180.0,top
C51,115.062,-85.471,270.0,top
C52,115.062,-87.63,270.0,top
C53,122.174,-89.408,0.0,top
C54,115.062,-89.789,270.0,top
C55,115.062,-91.694,270.0,top
C56,119.634,-89.408,180.0,top
C57,115.062,-95.377,270.0,top
C58,115.062,-97.536,270.0,top
C6,140.6569,-95.7442,90.0,top
C7,145.2289,-96.6302,90.0,top
C8,147.2849,-94.7362,270.0,top
C9,143.7049,-80.2782,90.0,top
D1,140.3809,-59.8622,0.0,top
D10,106.68,-66.421,0.0,top
D11,106.68,-70.056,0.0,top
D12,106.68,-72.088,0.0,top
D13,106.68,-74.12,0.0,top
D14,106.68,-76.152,0.0,top
D15,106.807,-79.756,0.0,top
D16,106.807,-81.788,0.0,top
D17,106.807,-83.82,0.0,top
D18,106.807,-85.852,0.0,top
D19,107.442,-88.519,90.0,top
D2,136.8249,-59.8622,0.0,top
D20,107.442,-91.821,90.0,top
D21,107.442,-95.377,90.0,top
D22,108.077,-98.044,0.0,top
D23,169.5039,-60.1472,0.0,top
D3,152.2909,-55.5362,90.0,top
D4,158.2069,-82.0562,180.0,top
D5,163.5349,-60.6552,180.0,top
D6,169.5039,-63.1952,270.0,top
D7,106.657,-60.2775,0.0,top
D8,106.657,-62.3095,0.0,top
D9,106.68,-64.389,0.0,top
J1,127.768,-51.78,180.0,top
J2,155.3411,-96.2148,90.0,top
J3,149.612,-48.96,180.0,top
J4,169.542,-51.78,180.0,top
J5,195.58,-76.454,270.0,top
J6,190.95,-73.752,270.0,top
J7,122.4968,-109.515,0.0,top
J8,121.412,-105.918,180.0,top
J9,176.49,-105.635,180.0,top
JP1,141.732,-54.229,180.0,top
Q1,178.943,-61.214,180.0,top
Q2,178.943,-64.897,180.0,top
Q3,178.943,-68.58,180.0,top
Q4,178.943,-72.263,180.0,top
Q5,178.943,-75.946,180.0,top
Q6,178.943,-79.629,180.0,top
Q7,189.23,-97.3122,180.0,top
Q8,189.23,-93.6244,180.0,top
R1,158.4609,-84.0882,0.0,top
R10,136.8649,-73.2282,90.0,top
R11,139.1509,-72.5932,180.0,top
R12,145.7369,-81.2632,270.0,top
R13,146.7529,-81.2632,270.0,top
R14,145.2529,-94.5172,90.0,top
